Id,Movie,,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
307,The Double,Magnolia…,Magnolia Pictures,"$200,406 ","$14,646 ",16
308,Listen Up Philip,TriBecaF…,TriBeca Films,"$200,126 ","$23,284 ",32
309,Conte d'été,BigWorld…,Big World Pictures,"$198,791 ","$12,863 ",9
310,Avis de mistral,MongrelM…,Mongrel Media,"$191,839 ",$0,9
311,Code Black,LongShot…,Long Shot Factory,"$190,229 ","$6,319 ",10
312,Vi ar bast!,Magnolia…,Magnolia Pictures,"$180,590 ","$17,664 ",23
313,Anita: Speaking Truth to Power,SamuelGo…,Samuel Goldwyn Films,"$172,634 ","$44,114 ",12
314,Afternoon of a Faun: Tanaquil Le Clercq,KinoLorber,Kino Lorber,"$172,120 ","$15,292 ",7
315,Mo jing,ChinaLio…,China Lion Film Distribution,"$172,010 ","$77,130 ",17
316,The Last of Robin Hood,SamuelGo…,Samuel Goldwyn Films,"$171,138 ","$35,418 ",78
317,God's Pocket,IFCFilms,IFC Films,"$166,457 ","$21,482 ",80
318,Kis uykusu,AdoptFilms,Adopt Films,"$165,520 ",$0,9
319,Nas: Time is Illmatic,TriBecaF…,TriBeca Films,"$164,540 ",$0,13
320,Horns,RADiUS-TWC,RADiUS-TWC,"$164,480 ","$107,544 ",105
321,Keep On Keepin' On,RADiUS-TWC,RADiUS-TWC,"$162,530 ","$12,930 ",9
322,Pirates,WellGoUSA,Well Go USA,"$160,133 ","$119,187 ",25
323,9 mois ferme,MongrelM…,Mongrel Media,"$154,485 ","$33,816 ",10
324,Citizen Koch,Variance…,Variance Films,"$153,908 ","$10,200 ",24
325,Alan Partridge,Magnolia…,Magnolia Pictures,"$153,426 ","$12,664 ",22
326,Oh Boy,MusicBox…,Music Box Films,"$150,275 ","$3,918 ",12
327,From the Rough,Freestyle…,Freestyle Releasing,"$150,000 ","$150,000 ",195
328,James Cameron's Deepsea Challenge 3D,DisruptiveLA,Disruptive LA,"$149,879 ","$149,879 ",304
329,Kids for Cash,SenArtFilms,Sen Art Films,"$143,178 ","$36,639 ",18
330,Mistaken for Strangers,Abramoram…,Abramorama Films,"$138,991 ","$87,743 ",9
331,Yellow Day,SelfDist…,Self Distributed,"$138,325 ","$31,000 ",40
332,The Congress,Drafthous…,Drafthouse Films,"$137,815 ","$38,172 ",37
333,Dancing in Jaffa,IFCFilms,IFC Films,"$136,257 ","$17,702 ",23
334,Aa Gaye Munde U.K. De,YashRaj…,Yash Raj Films,"$135,000 ","$135,000 ",30
335,Redwood Highway,Monterey…,Monterey Media,"$134,049 ",$0,17
336,Le metis de Dieu,FilmMove…,Film Movement,"$133,672 ",$0,4
337,Gore Vidal: The United States of Amnesia,IFCFilms,IFC Films,"$133,296 ",$0,11
338,Raja Natwarlal,UTVCommu…,UTV Communications,"$131,105 ","$83,669 ",73
339,Bethlehem,AdoptFilms,Adopt Films,"$127,115 ","$69,700 ",26
340,Make Your Move,HighTop…,High Top Releasing,"$125,106 ","$81,172 ",142
341,Pour une femme,FilmMove…,Film Movement,"$122,764 ","$6,530 ",4
342,Afflicted,CBSFilms,CBS Films,"$121,179 ","$69,447 ",44
343,Finding Fela!,KinoLorber,Kino Lorber,"$120,980 ",$0,11
344,Kundo: min-ran-eui-si-dae,WellGoUSA,Well Go USA,"$120,857 ","$120,857 ",28
345,Zero Motivation,Zeitgeist,Zeitgeist,"$116,044 ","$9,427 ",7
346,Knights of Badassdom,Entertain…,Entertainment One,"$113,531 ",$0,11
347,Libertador,CohenMed…,Cohen Media,"$113,067 ","$69,992 ",76
348,The Overnighters,Drafthous…,Drafthouse Films,"$110,764 ","$4,324 ",23
349,God the Father,RockyMou…,Rocky Mountain Pictures,"$109,508 ","$15,037 ",15
350,Six Dance Lessons in Six Weeks,DadaFilms,Dada Films,"$106,323 ",$0,13
351,God Help the Girl,Amplify,Amplify,"$102,757 ","$11,330 ",59
352,Coherence,Oscillosc…,Oscilloscope Pictures,"$102,617 ","$17,000 ",7
353,Hoje Eu Quero Voltar Sozinho,Strand,Strand,"$101,451 ","$26,334 ",14
354,Korengal,Saboteur…,Saboteur Media,"$101,310 ","$14,630 ",11
355,Huang jin shi dai,ChinaLio…,China Lion Film Distribution,"$99,872 ",$0,11
356,Ivory Tower,SamuelGo…,Samuel Goldwyn Films,"$99,555 ","$17,857 ",9
357,Jeune & Jolie,IFCFilms,IFC Films,"$99,118 ","$4,607 ",50
358,Hiroshima Mon Amour,RialtoPi…,Rialto Pictures,"$96,439 ","$18,494 ",7
359,"Unsere Mutter, unsere Vater",MusicBox…,Music Box Films,"$91,595 ","$7,386 ",7
360,Girl on a Bicycle,Monterey…,Monterey Media,"$91,401 ","$37,086 ",52
361,One Chance,Weinstein…,Weinstein Co.,"$90,592 ","$33,405 ",43
362,Pump,Submarine…,Submarine Deluxe,"$89,787 ","$42,177 ",6
363,The Principle,RockyMou…,Rocky Mountain Pictures,"$89,543 ","$8,657 ",3
364,La migiliore offerta,IFCFilms,IFC Films,"$88,719 ","$2,595 ",15
365,Breathe In,CohenMed…,Cohen Media,"$88,100 ","$15,324 ",35
366,Advanced Style,Bond/360,Bond/360,"$87,909 ","$6,500 ",12
367,Visitors,Cinedigm,Cinedigm,"$81,470 ","$9,094 ",13
368,Life After Beth,A24,A24,"$80,315 ","$15,843 ",20
369,12 O'Clock Boys,Oscillosc…,Oscilloscope Pictures,"$80,030 ","$44,108 ",21
370,Fort McCoy,Monterey…,Monterey Media,"$78,948 ","$4,070 ",14
371,Les yeux jaunes des crocodiles,MongrelM…,Mongrel Media,"$76,493 ",$0,9
372,Whitey: United States of America v. James J. Bu…,Magnolia…,Magnolia Pictures,"$75,881 ","$14,287 ",9
373,Le temps de laventure,DistribF…,Distrib Films,"$75,531 ",$0,6
374,Better Living Through Chemistry,SamuelGo…,Samuel Goldwyn Films,"$72,273 ","$46,435 ",61
375,Offret,KinoLorber,Kino Lorber,"$69,861 ",$0,12
376,Take Me to the River,Abramoram…,Abramorama Films,"$68,598 ","$25,588 ",13
377,Elsa & Fred,Alchemy,Alchemy,"$67,657 ",$0,3
378,"Je taime, je taime",TheFilm…,The Film Collaborative,"$67,503 ",$0,1
379,For No Good Reason,SonyPict…,Sony Pictures,"$67,105 ","$4,516 ",21
380,A nagy füzet,SonyPict…,Sony Pictures,"$66,235 ","$4,193 ",15
381,Through a Lens Darkly,FirstRun…,First Run Features,"$65,169 ","$11,764 ",3
382,La jalousie,DistribF…,Distrib Films,"$63,946 ","$5,533 ",6
383,Heropanti,UTVCommu…,UTV Communications,"$63,649 ","$32,831 ",16
384,Dom over dod man,MusicBox…,Music Box Films,"$62,506 ","$9,020 ",6
385,Tiger & Bunny the Movie: The Rising,ElevenArts,Eleven Arts,"$61,562 ","$23,171 ",18
386,The Art of the Steal,RADiUS-TWC,RADiUS-TWC,"$61,446 ","$39,670 ",60
387,Siddharth,Zeitgeist,Zeitgeist,"$60,537 ","$4,564 ",6
388,Frontera,Magnolia…,Magnolia Pictures,"$59,696 ","$10,962 ",14
389,Feuchtgebiete,Strand,Strand,"$59,437 ","$6,488 ",6
390,Cheap Thrills,Drafthous…,Drafthouse Films,"$59,424 ","$18,638 ",18
391,Walk of Shame,FocusFea…,Focus Features,"$59,209 ","$39,751 ",51
392,The One I Wrote for You,Abramoram…,Abramorama Films,"$58,872 ","$48,643 ",49
393,Sagrada: el misteri de la creacio,FirstRun…,First Run Features,"$58,755 ","$2,009 ",5
394,Borgman,Drafthous…,Drafthouse Films,"$57,475 ","$5,317 ",14
395,Ai Weiwei: The Fake Case,Internati…,International Film Circuit,"$57,322 ","$5,066 ",8
396,Cuban Fury,Entertain…,Entertainment One,"$57,105 ","$57,105 ",79
397,The Rocket,KinoLorber,Kino Lorber,"$56,823 ","$4,621 ",7
398,The Bag Man,Cinedigm,Cinedigm,"$56,574 ","$29,231 ",15
399,Grzeli nateli dgeebi,BigWorld…,Big World Pictures,"$56,092 ","$9,280 ",13
400,Rudderless,SamuelGo…,Samuel Goldwyn Films,"$56,001 ","$37,440 ",18
401,Big Men,Abramoram…,Abramorama Films,"$55,032 ","$7,539 ",3
402,Starred Up,TriBecaF…,TriBeca Films,"$54,915 ","$13,561 ",7
403,Half of a Yellow Sun,Monterey…,Monterey Media,"$54,529 ","$4,843 ",7
404,Ilo Ilo,FilmMove…,Film Movement,"$54,071 ","$8,775 ",3
405,Avant lhiver,MongrelM…,Mongrel Media,"$53,970 ","$14,236 ",6
406,At Middleton,AnchorBa…,Anchor Bay Entertainment,"$53,837 ","$33,768 ",20
407,Tusen ganger god natt,FilmMove…,Film Movement,"$53,025 ","$24,120 ",24
408,Low Down,Oscillosc…,Oscilloscope Pictures,"$52,337 ","$7,000 ",8
409,Hellion,IFCFilms,IFC Films,"$51,748 ","$7,601 ",9
410,Hateship Loveship,IFCFilms,IFC Films,"$51,610 ","$6,464 ",16
411,To Be Takei,StarzMedia,Starz Media,"$51,481 ","$22,846 ",22
412,Limage manquante,Strand,Strand,"$51,337 ","$10,148 ",9
413,The Internet's Own Boy: The Story of Aaron Swar…,Participa…,Participant Media,"$50,735 ","$21,705 ",12
414,The Retrieval,Variance…,Variance Films,"$50,257 ","$7,232 ",5
415,The Yes Men Are Revolting,TheOrchard,The Orchard,"$50,190 ",$0,20
416,NOW: In the Wings on a World Stage,Spacey,Spacey,"$49,591 ","$21,538 ",3
417,Viva La Liberta,DistribF…,Distrib Films,"$49,071 ","$5,272 ",10
418,Lucky Them,IFCFilms,IFC Films,"$48,995 ","$3,728 ",9
419,American Mustang,Vitagraph…,Vitagraph Films,"$48,218 ","$7,906 ",3
420,A Master Builder,Abramoram…,Abramorama Films,"$46,874 ","$7,017 ",4
421,Monk With a Camera,KinoLorber,Kino Lorber,"$45,938 ",$0,4
422,Filmistan,UTVCommu…,UTV Communications,"$45,406 ","$31,113 ",24
423,There's No Place Like Utopia,RockyMou…,Rocky Mountain Pictures,"$45,254 ","$30,710 ",5
424,The Dog,Drafthous…,Drafthouse Films,"$44,582 ","$10,938 ",20
425,"Alphaville, une étrange aventure de Lemmy Caution",RialtoPi…,Rialto Pictures,"$43,729 ","$7,298 ",3
426,If You Build It,LongShot…,Long Shot Factory,"$43,393 ","$4,949 ",5
427,Water & Power,North/Sou…,North/South Pictures,"$42,557 ","$39,428 ",16
428,Blood Ties,Roadside…,Roadside Attractions,"$42,472 ","$26,912 ",28
429,Interior. Leather Bar.,Strand,Strand,"$40,862 ",$0,2
430,Le dernier des injustes,CohenMed…,Cohen Media,"$40,563 ","$14,328 ",8
431,Teenage,Oscillosc…,Oscilloscope Pictures,"$40,169 ","$8,000 ",4
432,Decoding Annie Parker,Entertain…,Entertainment One,"$39,850 ","$16,781 ",13
433,Zwei Leben,IFCFilms,IFC Films,"$39,673 ","$1,303 ",4
434,Child of God,WellGoUSA,Well Go USA,"$37,949 ","$27,630 ",8
435,Pulp: a Film About Life Death & Supermarkets,Oscillosc…,Oscilloscope Pictures,"$35,866 ","$22,000 ",36
436,Not Cool,StarzMedia,Starz Media,"$35,688 ","$10,329 ",1
437,La ritournelle,MongrelM…,Mongrel Media,"$35,070 ",$0,5
438,Beneath the Harvest Sky,TriBecaF…,TriBeca Films,"$34,768 ",$0,10
439,Filth,Magnolia…,Magnolia Pictures,"$34,411 ","$7,526 ",5
440,Rocks in My Pockets,Zeitgeist,Zeitgeist,"$34,236 ","$4,674 ",3
441,White Bird in a Blizzard,Magnolia…,Magnolia Pictures,"$33,821 ","$6,302 ",14
442,It Felt Like Love,Variance…,Variance Films,"$33,817 ","$8,211 ",10
443,Ekspeditionen til verdens ende,ArgotPic…,Argot Pictures,"$33,416 ","$6,635 ",1
444,A Field in England,Drafthous…,Drafthouse Films,"$32,846 ","$9,498 ",13
445,Big Bad Wolves,MagnetPi…,Magnet Pictures,"$32,828 ","$6,342 ",7
446,Dod Sno 2,WellGoUSA,Well Go USA,"$32,617 ",$0,8
447,The Hero of Color City,Magnolia…,Magnolia Pictures,"$32,188 ","$24,260 ",69
448,Ping Pong Summer,Gravitas…,Gravitas Ventures,"$31,900 ","$31,900 ",17
449,Abus de faiblesse,Strand,Strand,"$31,557 ","$4,957 ",5
450,Risate di gioia,RialtoPi…,Rialto Pictures,"$31,539 ","$8,677 ",2
451,Documented,Documente…,Documented Film,"$30,662 ","$5,422 ",3
452,Happy Christmas,Magnolia…,Magnolia Pictures,"$30,312 ","$7,523 ",9
453,A Long Way Off,MovingVi…,Moving Visions Entertainment,"$28,951 ",$0,15
454,Jigoku de naze warui,Drafthous…,Drafthouse Films,"$28,534 ","$5,060 ",11
455,Stations of the Elevated,APD/Cinem…,APD/Cinema Conservancy,"$28,516 ",$0,1
456,Parde,Variance…,Variance Films,"$28,098 ","$5,002 ",5
457,Lilting,Strand,Strand,"$26,699 ","$1,567 ",9
458,Last Weekend,IFCFilms,IFC Films,"$26,111 ","$3,492 ",8
459,Le roi et loiseau,RialtoPi…,Rialto Pictures,"$25,950 ",$0,1
460,Elena,Variance…,Variance Films,"$25,866 ","$10,341 ",2
461,Attila Marcel,MongrelM…,Mongrel Media,"$25,601 ",$0,3
462,Lamour est un crime parfait,MongrelM…,Mongrel Media,"$25,475 ","$8,265 ",2
463,Jimmy P.,MongrelM…,Mongrel Media,"$25,274 ",$0,6
464,Bird People,IFCFilms,IFC Films,"$25,209 ","$7,443 ",7
465,After,Paladin,Paladin,"$24,545 ","$6,333 ",1
466,Happy Valley,MusicBox…,Music Box Films,"$23,868 ","$9,047 ",4
467,Believe Me,RiotStudios,Riot Studios,"$23,689 ",$0,14
468,Uvanga,MongrelM…,Mongrel Media,"$23,336 ","$1,684 ",6
469,Conte dhiver,BigWorld…,Big World Pictures,"$23,216 ","$3,802 ",3
470,Video Games: The Movie,Variance…,Variance Films,"$23,043 ","$12,759 ",25
471,Grand Piano,Magnolia…,Magnolia Pictures,"$22,555 ","$2,964 ",10
472,Der Anstandige,KinoLorber,Kino Lorber,"$21,327 ",$0,2
473,Memphis,KinoLorber,Kino Lorber,"$21,286 ",$0,5
474,Nightlights,IndicanP…,Indican Pictures,"$21,147 ","$6,982 ",6
475,The Past is a Grotesque Animal,Oscillosc…,Oscilloscope Pictures,"$20,056 ",$0,10
476,"Christian Mingle, The Movie",RockyMou…,Rocky Mountain Pictures,"$19,836 ","$19,836 ",15
477,Adult World,IFCFilms,IFC Films,"$19,731 ","$3,783 ",11
478,Guardian Angel,Richmond…,Richmond Media Entertainment,"$19,480 ","$12,624 ",2
479,Peter Brook: The Tightrope,FirstRun…,First Run Features,"$19,365 ","$6,768 ",2
480,Actress,CinemaGuild,Cinema Guild,"$19,365 ",$0,4
481,Watchers of the Sky,MusicBox…,Music Box Films,"$19,339 ","$7,473 ",4
482,The Kill Team,Oscillosc…,Oscilloscope Pictures,"$19,183 ","$3,000 ",2
483,Test,Variance…,Variance Films,"$18,823 ",$0,6
484,Menu degustacio,Magnolia…,Magnolia Pictures,"$18,686 ",$0,5
485,Who is Dayani Cristal?,KinoLorber,Kino Lorber,"$18,190 ","$5,712 ",2
486,Xi you xiang mo pian,Magnolia…,Magnolia Pictures,"$18,058 ","$7,456 ",7
487,Stand Clear of the Closing Doors,Oscillosc…,Oscilloscope Pictures,"$17,282 ","$7,000 ",3
488,Au bonheur des ogres,MongrelM…,Mongrel Media,"$17,221 ","$5,712 ",3
489,Cold Comes the Night,Stage6S…,Stage 6 Samuel Goldwyn Films,"$16,971 ","$11,603 ",21
490,Hank and Asha,FilmRise,Film Rise,"$16,878 ","$6,192 ",2
491,Levitated Mass,FirstRun…,First Run Features,"$16,086 ","$4,589 ",3
492,Two Night Stand,Entertain…,Entertainment One,"$15,600 ","$15,600 ",5
493,Magician: The Astonishing Life and Work of Orso…,CohenMed…,Cohen Media,"$15,528 ","$7,130 ",2
494,Kelly & Cal,IFCFilms,IFC Films,"$15,297 ","$5,387 ",6
495,The Olivia Experiment,IndicanP…,Indican Pictures,"$15,122 ","$2,754 ",6
496,Barefoot,Roadside…,Roadside Attractions,"$15,071 ","$11,767 ",18
497,Les chevaux de Dieu,KinoLorber,Kino Lorber,"$14,817 ","$2,251 ",2
498,Heartbeat,MongrelM…,Mongrel Media,"$14,705 ",$0,24
499,Exhibition,KinoLorber,Kino Lorber,"$14,344 ",$0,1
500,Goodbye to All That,IFCFilms,IFC Films,"$13,790 ",$0,3
501,The Pretty One,DadaFilms,Dada Films,"$13,769 ","$1,484 ",5
502,Fifi az khoshhali zooze makeshad,MusicBox…,Music Box Films,"$13,614 ","$2,728 ",2
503,As It Is in Heaven,CinemaPu…,Cinema Purgatorio,"$13,486 ",$0,11
504,War of the Worlds Goliath,Anderson…,Anderson Digital,"$13,385 ","$13,385 ",18
505,A Long Way Down,Magnolia…,Magnolia Pictures,"$13,347 ","$1,426 ",5
506,The Pleasures of Being Out of Step,FirstRun…,First Run Features,"$13,137 ","$1,846 ",2
507,K2: Siren of the Himalayas,FirstRun…,First Run Features,"$12,959 ","$1,421 ",2
508,Concerning Violence,KinoLorber,Kino Lorber,"$12,680 ",$0,2
509,Touch the Wall,Touchthe…,Touch The Wall,"$12,156 ","$6,150 ",2
510,In No Great Hurry: 13 Lessons in Life with Saul…,SelfDist…,Self Distributed,"$12,133 ","$6,100 ",4
511,Bhopal: A Prayer for Rain,Revolver…,Revolver Entertainment,"$12,111 ","$5,948 ",2
512,Alien Abduction,IFCMidnight,IFC Midnight,"$12,087 ","$10,514 ",13
513,Revenge of the Mekons,MusicBox…,Music Box Films,"$11,861 ","$2,354 ",3
514,Run & Jump,Sundance…,Sundance Selects,"$11,805 ","$3,944 ",3
515,Falcon Rising,Freestyle…,Freestyle Releasing,"$11,774 ","$8,691 ",10
516,Emoticon,IndicanP…,Indican Pictures,"$11,761 ",$0,1
517,"Aimer, boire et chanter",KinoLorber,Kino Lorber,"$11,616 ",$0,1
518,The Final Member,Drafthous…,Drafthouse Films,"$11,428 ","$2,064 ",10
519,Los insolitos peces gato,Strand,Strand,"$11,278 ",$733 ,3
520,Pay 2 Play: Democracy's High Stakes,ShootFir…,Shoot First Inc,"$11,021 ","$2,233 ",2
521,Les Infideles,Weinstein…,Weinstein Co.,"$10,854 ","$6,674 ",50
522,Jiao you,CinemaGuild,Cinema Guild,"$10,433 ",$0,1
523,The Great Invisible,RADiUS-TWC,RADiUS-TWC,"$9,952 ","$2,348 ",5
524,Camp X-Ray,IFCFilms,IFC Films,"$9,837 ","$1,316 ",7
525,Arrete ou je continue,FilmMove…,Film Movement,"$9,719 ","$1,707 ",1
526,Last Passenger,CohenMed…,Cohen Media,"$9,326 ","$9,326 ",10
527,Honeymoon,Magnolia…,Magnolia Pictures,"$9,318 ","$4,131 ",3
528,The Sacrament,Magnolia…,Magnolia Pictures,"$9,221 ",$583 ,5
529,13 Sins,RADiUS-TWC,RADiUS-TWC,"$9,134 ","$9,134 ",45
530,Faith Connections,KinoLorber,Kino Lorber,"$9,111 ",$0,2
531,De lautre côté du périph,Weinstein…,Weinstein Co.,"$8,689 ",$0,50
532,Kabbalah Me,FirstRun…,First Run Features,"$8,671 ","$2,196 ",2
533,Days and Nights,IFCFilms,IFC Films,"$8,647 ","$6,003 ",1
534,Radio Free Albemuth,Freestyle…,Freestyle Releasing,"$8,493 ","$5,553 ",10
535,Canopy,Monterey…,Monterey Media,"$8,462 ","$3,042 ",5
536,Amour & turbulences,Variance…,Variance Films,"$8,425 ","$4,937 ",6
537,Eternity: The Movie,VagrantF…,Vagrant Films,"$8,350 ","$1,582 ",3
538,Life Partners,Magnolia…,Magnolia Pictures,"$8,265 ","$2,665 ",3
539,Before I Disappear,IFCFilms,IFC Films,"$8,251 ","$2,676 ",3
540,Next Year Jerusalem,FirstRun…,First Run Features,"$8,093 ","$2,590 ",2
541,Las horas muertas,Strand,Strand,"$7,879 ","$1,366 ",3
542,Archipelago,KinoLorber,Kino Lorber,"$7,791 ",$0,1
543,Come Back to Me,Freestyle…,Freestyle Releasing,"$7,744 ","$4,156 ",10
544,Bing Fung: Chung Sang Chi Mun,WellGoUSA,Well Go USA,"$7,679 ",$0,2
545,The Animal Project,MongrelM…,Mongrel Media,"$7,580 ","$3,800 ",1
546,Comet,IFCFilms,IFC Films,"$7,194 ",$0,8
547,L'étrange couleur des larmes de ton corps,Strand,Strand,"$7,182 ",$0,3
548,The ABC's of Death 2,MagnetPi…,Magnet Pictures,"$7,171 ","$4,022 ",17
549,Stage Fright,Magnolia…,Magnolia Pictures,"$7,078 ","$3,562 ",16
550,Plot for Peace,TrinityFilm,Trinity Film,"$7,051 ","$2,554 ",3
551,Pioneer,Magnolia…,Magnolia Pictures,"$6,871 ","$1,857 ",3
552,"No God, No Master",Monterey…,Monterey Media,"$6,796 ",$0,5
553,I Am Ali,FocusFea…,Focus Features,"$6,526 ","$4,178 ",11
554,Dast-Neveshtehaa Nemisoosand,KinoLorber,Kino Lorber,"$6,295 ",$0,2
555,Tip Top,KinoLorber,Kino Lorber,"$6,050 ",$0,1
556,Love & Air Sex,TriBecaF…,TriBeca Films,"$6,047 ",$0,1
557,The Hacker Wars,Vitagraph…,Vitagraph Films,"$5,916 ","$2,958 ",1
558,La petite chambre,CinemaLibre,Cinema Libre,"$5,816 ","$2,981 ",3
559,Almost Human,IFCFilms,IFC Films,"$5,710 ","$2,722 ",5
560,The Quitter,Goodface…,Goodface Films,"$5,588 ","$5,588 ",1
561,Kid Cannabis,WellGoUSA,Well Go USA,"$5,565 ","$5,565 ",10
562,Flex is Kings,BaxterBr…,Baxter Brothers,"$5,418 ","$5,418 ",1
563,Web Junkie,KinoLorber,Kino Lorber,"$5,338 ",$0,1
564,2 automnes 3 hivers,FilmMove…,Film Movement,"$5,030 ","$2,163 ",1
565,Tore tanzt,Drafthous…,Drafthouse Films,"$4,871 ","$2,853 ",8
566,Gabrielle,Entertain…,Entertainment One,"$4,804 ",$0,1
567,Return to Nuke Em High Volume 1,AnchorBa…,Anchor Bay Entertainment,"$4,790 ","$3,226 ",1
568,Half the Road,FirstRun…,First Run Features,"$4,783 ","$1,613 ",2
569,Fall,MongrelM…,Mongrel Media,"$4,726 ","$2,675 ",1
570,Death Metal Angola,TheVlada…,The Vladar Company,"$4,674 ",$895 ,1
571,Smiling Through the Apocalypse,FirstRun…,First Run Features,"$4,560 ","$2,590 ",9
572,Jews of Egypt,ArtMattan…,Art Mattan Films,"$4,506 ","$2,179 ",1
573,Unrelated,KinoLorber,Kino Lorber,"$4,419 ",$0,1
574,The Truth About Emanuel,TriBecaF…,TriBeca Films,"$4,404 ",$0,11
575,Life of a King,Alchemy,Alchemy,"$4,304 ","$4,304 ",16
576,The Devils Hand,Roadside…,Roadside Attractions,"$4,239 ","$4,239 ",17
577,Thunder and the House of Magic,Shout!Fa…,Shout! Factory,"$4,091 ","$4,091 ",10
578,El misterio de la felicidad,Strand,Strand,"$3,894 ",$0,1
579,Autoreiji: Biyondo,Magnolia…,Magnolia Pictures,"$3,878 ",$0,1
580,Hollidaysburg,StarzMedia,Starz Media,"$3,709 ","$1,713 ",1
581,Exists,Lionsgate,Lionsgate,"$3,650 ",$0,12
582,The Word,ScarletS…,Scarlet Sky Productions,"$3,648 ","$3,648 ",1
583,Hide Your Smiling Faces,TriBecaF…,TriBeca Films,"$3,576 ",$0,2
584,Locker 13,Brothers…,Brothers' Ink Productions,"$3,496 ",$0,
585,Raze,IFCMidnight,IFC Midnight,"$3,453 ","$3,453 ",2
586,Life's a Breeze,Magnolia…,Magnolia Pictures,"$3,450 ","$1,361 ",2
587,The Girl on the Train,Monterey…,Monterey Media,"$3,124 ",$211 ,3
588,Showrunners: The Art of Running a TV Show,Submarine…,Submarine Deluxe,"$3,100 ","$3,100 ",1
589,Anita Ho,IndicanP…,Indican Pictures,"$3,050 ",$0,1
590,Assistance mortelle,VelvetFilm,Velvet Film,"$3,000 ","$3,000 ",1
591,Aftermath,Freestyle…,Freestyle Releasing,"$2,955 ","$1,124 ",1
592,V/H/S: Viral,Magnolia…,Magnolia Pictures,"$2,756 ","$1,221 ",5
593,Black Out,MusicBox…,Music Box Films,"$2,734 ","$1,749 ",10
594,Mercedes Sosa: La voz de Latinoamerica,FirstRun…,First Run Features,"$2,648 ","$1,415 ",1
595,The Sleepwalker (2014),IFCFilms,IFC Films,"$2,636 ","$2,636 ",1
596,Jake Squared,Freestyle…,Freestyle Releasing,"$2,592 ","$1,681 ",10
597,Refuge,Strand,Strand,"$2,554 ","$1,274 ",1
598,Two-Bit Waltz,Monterey…,Monterey Media,"$2,540 ",$136 ,3
599,Revenge of the Green Dragons,A24,A24,"$2,500 ",$0,2
600,Dinosaur 13,Lionsgate,Lionsgate,"$2,500 ",$0,14
601,Tom yum goong 2,MagnetPi…,Magnet Pictures,"$2,463 ",$270 ,1
602,Banksy Does New York,HBODocum…,HBO Documentary Films,"$2,388 ",$0,3
603,Evergreen: The Road to Legalization,FirstRun…,First Run Features,"$2,363 ",$189 ,3
604,Stop the Pounding Heart,BigWorld…,Big World Pictures,"$2,363 ","$2,363 ",1
605,Moebiuseu,RAMRelea…,RAM Releasing,"$2,340 ",$0,1
606,"Era Uma Vez Eu, Veronica",BigWorld…,Big World Pictures,"$2,216 ",$0,1
607,Missionary,Freestyle…,Freestyle Releasing,"$2,120 ","$2,120 ",10
608,The Wait,Monterey…,Monterey Media,"$2,109 ",$161 ,3
609,The Right Kind of Wrong,Magnolia…,Magnolia Pictures,"$2,098 ",$593 ,1
610,Algorithms,FirstRun…,First Run Features,"$2,021 ",$317 ,1
611,Born to Fly: Elizabeth Streb vs. Gravity,TheFilm…,The Film Collaborative,"$1,822 ",$0,1
612,These Final Hours,MongrelM…,Mongrel Media,"$1,780 ",$633 ,2
613,Rhymes for Young Ghouls,Monterey…,Monterey Media,"$1,776 ",$141 ,4
614,Mr. Pip,Freestyle…,Freestyle Releasing,"$1,714 ","$1,714 ",10
615,More Than the Rainbow,FirstRun…,First Run Features,"$1,677 ","$1,082 ",1
616,Truth,LeftofC…,Left of Center Entertainment,"$1,626 ","$1,626 ",1
617,Summer in February,TriBecaF…,TriBeca Films,"$1,624 ",$0,1
618,Ragnarok,Magnolia…,Magnolia Pictures,"$1,369 ",$0,2
619,Der Turm,MusicBox…,Music Box Films,"$1,117 ",$726 ,1
620,Pret a tout,RialtoPi…,Rialto Pictures,"$1,092 ",$738 ,1
621,We Are the Giant,MusicBox…,Music Box Films,"$1,088 ","$1,088 ",2
622,The Butterfly Room,Archstone…,Archstone Entertainment,"$1,081 ","$1,081 ",1
623,Demi-Soeur,RialtoPi…,Rialto Pictures,$943 ,$634 ,1
624,Free the Nipple,IFCFilms,IFC Films,$935 ,$606 ,1
625,A People Uncounted,FirstRun…,First Run Features,$930 ,$390 ,1
626,Arme Riddere,Doppelgan…,Doppelganger Releasing,$806 ,$806 ,2
627,Cinemanovels,Monterey…,Monterey Media,$670 ,$0,3
628,Situation amoureuse: Cest compliqué,DistribF…,Distrib Films,$563 ,$0,1
629,Grand départ,RialtoPi…,Rialto Pictures,$459 ,$339 ,1
630,Barbecue,DistribF…,Distrib Films,$388 ,$0,1
