Id,Movie,,,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
114,American Ultra,Lionsgate,Lionsgate,"$14,439,985 ","$5,454,284 ","2,778"
115,Woodlawn,PureFlix…,Pure Flix Entertainment,"$14,394,097 ","$4,002,226 ","1,553"
116,Burnt,Weinstein…,Weinstein Co.,"$13,651,946 ","$5,002,341 ","3,003"
117,Do You Believe?,PureFlix…,Pure Flix Entertainment,"$12,985,600 ","$3,591,282 ","1,356"
118,Carol,Weinstein…,Weinstein Co.,"$12,711,491 ","$253,510 ",790
119,Love & Mercy,Roadside…,Roadside Attractions,"$12,551,031 ","$2,122,177 ",791
120,Strange Magic,WaltDisney,Walt Disney,"$12,429,583 ","$5,504,441 ","3,020"
121,Hot Tub Time Machine 2,Paramount…,Paramount Pictures,"$12,314,651 ","$5,963,324 ","2,901"
122,Self/Less,FocusFea…,Focus Features,"$12,279,691 ","$5,403,460 ","2,353"
123,Far from the Madding Crowd,FoxSearc…,Fox Searchlight,"$12,236,500 ","$164,985 ",902
124,The 33,WarnerBros.,Warner Bros.,"$12,227,722 ","$5,787,266 ","2,452"
125,The Danish Girl,FocusFea…,Focus Features,"$11,114,018 ","$187,318 ",794
126,The Gunman,OpenRoad,Open Road,"$10,664,749 ","$5,028,702 ","2,816"
127,Unfinished Business,20thCent…,20th Century,"$10,219,501 ","$4,772,613 ","2,777"
128,The Walk,SonyPict…,Sony Pictures,"$10,161,183 ","$1,560,299 ","2,509"
129,Un gallo con muchos huevos,Lionsgate,Lionsgate,"$9,080,818 ","$3,424,702 ",616
130,Amy,A24,A24,"$8,413,144 ","$222,500 ",435
131,Bajrangi Bhaijaan,ErosEnte…,Eros Entertainment,"$8,178,001 ","$2,822,564 ",257
132,Doragon bôru Z: Fukkatsu no F,FUNimation,FUNimation,"$8,008,363 ","$1,817,938 ",913
133,Blackhat,Universal,Universal Studio,"$8,005,980 ","$3,901,815 ","2,568"
134,Trumbo,Bleecker…,Bleecker Street,"$7,857,741 ","$74,177 ","1,187"
135,Mortdecai,Lionsgate,Lionsgate,"$7,696,134 ","$4,200,586 ","2,648"
136,While Were Young,A24,A24,"$7,582,065 ","$227,688 ",762
137,I'll See You in My Dreams,Bleecker…,Bleecker Street,"$7,449,681 ","$52,091 ",290
138,The Green Inferno,HighTop…,High Top Releasing,"$7,192,291 ","$3,520,626 ","1,543"
139,Our Brand is Crisis,WarnerBros.,Warner Bros.,"$7,002,261 ","$3,249,242 ","2,202"
140,Grandma,SonyPict…,Sony Pictures,"$6,980,524 ","$115,540 ","1,061"
141,Me and Earl and the Dying Girl,FoxSearc…,Fox Searchlight,"$6,758,416 ","$196,496 ",870
142,Baahubali: The Beginning,BlueskyC…,Bluesky Cinemas,"$6,738,000 ","$3,215,000 ",239
143,Bajirao Mastani,ErosEnte…,Eros Entertainment,"$6,557,047 ","$1,741,037 ",331
