Id,Movie,StudioDirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
128,The Miracle Season,LDEntert…,LD Entertainment,"$10,230,620 ","$3,950,652 ","1,707"
129,The Wife,SonyPict…,Sony Pictures,"$9,599,982 ","$108,284 ",541
130,Midnight Sun,GlobalRoad,Global Road,"$9,561,064 ","$4,003,993 ","2,173"
131,Tully,FocusFea…,Focus Features,"$9,369,755 ","$3,282,610 ","1,356"
132,Traffik,Lionsgate,Lionsgate,"$9,186,156 ","$3,941,338 ","1,046"
133,Unfriended: Dark Web,OTLRelea…,OTL Releasing,"$8,866,745 ","$3,653,035 ","1,547"
134,Can You Ever Forgive Me?,FoxSearc…,Fox Searchlight,"$8,803,865 ","$161,510 ",555
135,Early Man,Lionsgate,Lionsgate,"$8,267,544 ","$3,190,525 ","2,494"
136,The Death of Stalin,IFCFilms,IFC Films,"$8,047,856 ","$184,805 ",554
137,Sanju,20thCent…,20th Century,"$7,909,317 ","$2,723,658 ",359
138,Unsane,Bleecker…,Bleecker Street,"$7,690,044 ","$3,762,145 ","2,023"
139,Beautiful Boy,AmazonSt…,Amazon Studios,"$7,634,767 ","$218,888 ","1,052"
140,Pandas,IMAXFilms,IMAX Films,"$7,574,012 ","$158,915 ",35
141,Mid90s,A24,A24,"$7,362,439 ","$258,157 ","1,206"
142,Dog Days,LDEntert…,LD Entertainment,"$6,809,080 ","$2,554,766 ","2,442"
143,Boy Erased,FocusFea…,Focus Features,"$6,788,692 ","$207,057 ",672
144,Hotel Artemis,GlobalRoad,Global Road,"$6,708,137 ","$3,232,790 ","2,407"
145,A.X.L.,GlobalRoad,Global Road,"$6,501,381 ","$2,798,229 ","1,710"
146,Fahrenheit 11/9,Briarclif…,Briarcliff Entertainment,"$6,352,306 ","$3,008,563 ","1,719"
147,Unbroken: Path to Redemption,PureFlix…,Pure Flix Entertainment,"$6,216,897 ","$2,238,723 ","1,620"
148,The Hurricane Heist,Entertain…,Entertainment One,"$6,115,824 ","$3,024,399 ","2,402"
149,Every Day,OrionPic…,Orion Pictures,"$6,112,914 ","$3,016,149 ","1,669"
150,Leave No Trace,Bleecker…,Bleecker Street,"$6,046,104 ","$219,140 ",361
151,Death of a Nation,QualityFlix,Quality Flix,"$5,885,881 ","$2,356,522 ","1,005"
152,God's Not Dead: A Light in Darkness,PureFlix…,Pure Flix Entertainment,"$5,728,940 ","$2,689,677 ","1,693"
153,Kin,Lionsgate,Lionsgate,"$5,718,096 ","$3,035,618 ","2,141"
154,Stan & Ollie,SonyPict…,Sony Pictures,"$5,470,235 ","$78,104 ",754
155,Boku no Hero Academia the Movie,FUNimation,FUNimation,"$5,427,591 ","$1,388,500 ",515
156,Colette,Bleecker…,Bleecker Street,"$5,126,985 ","$161,179 ",593
157,Simmba,Reliance…,Reliance Big Pictures,"$5,102,129 ","$1,758,576 ",301
158,Action Point,Paramount…,Paramount Pictures,"$5,059,608 ","$2,390,164 ","2,032"
159,Beirut,Bleecker…,Bleecker Street,"$5,019,226 ","$1,734,497 ",755
160,Gringo,STXEnter…,STX Entertainment,"$4,969,853 ","$2,722,420 ","2,404"
161,Samson,PureFlix…,Pure Flix Entertainment,"$4,719,928 ","$1,942,569 ","1,249"
162,Zimna wojna,AmazonSt…,Amazon Studios,"$4,580,048 ","$54,353 ",270
163,Johnny English Strikes Again,FocusFea…,Focus Features,"$4,412,170 ","$1,638,895 ",552
164,Blindspotting,Lionsgate,Lionsgate,"$4,333,394 ","$338,999 ",523
165,Gotti,Vertical…,Vertical Entertainment,"$4,286,367 ","$1,719,902 ",503
166,Ya Veremos,Lionsgate,Lionsgate,"$4,165,949 ","$1,807,322 ",369
167,Life Itself,AmazonSt…,Amazon Studios,"$4,095,431 ","$2,123,463 ","2,609"
168,Ben is Back,Roadside…,Roadside Attractions,"$3,703,182 ","$80,733 ",598
169,Gosnell: The Trial of America's Biggest Serial …,GVNRelea…,GVN Releasing,"$3,679,893 ","$1,162,988 ",668
170,Indivisible,PureFlix…,Pure Flix Entertainment,"$3,511,417 ","$1,503,101 ",830
171,2018 Oscar Shorts,ShortsHD,ShortsHD,"$3,508,777 ","$695,044 ",271
172,Disobedience,Bleecker…,Bleecker Street,"$3,480,702 ","$237,393 ",247
173,First Reformed,A24,A24,"$3,448,256 ","$97,562 ",334
174,"Juliet, Naked",Roadside…,Roadside Attractions,"$3,444,895 ","$60,886 ",467
175,Bad Samaritan,Electric…,Electric Entertainment,"$3,424,744 ","$1,726,868 ","2,007"
176,Manbiki kazoku,Magnolia…,Magnolia Pictures,"$3,313,513 ","$89,264 ",144
177,The Leisure Seeker,SonyPict…,Sony Pictures,"$3,224,126 ","$113,708 ",353
