Id,Movie,StudioDirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
314,El Planeta,Utopia,Utopia,"$7,181 ","$7,181 ",1
315,Final Frequency,Integrity…,Integrity Releasing,"$7,098 ","$4,735 ",9
316,The Boonies,IndicanP…,Indican Pictures,"$6,887 ","$1,006 ",2
317,Gôsuto masutâ,IndicanP…,Indican Pictures,"$6,136 ","$4,212 ",2
318,Angelique's Isle,IndicanP…,Indican Pictures,"$6,055 ","$1,650 ",1
319,Herself,AmazonSt…,Amazon Studios,"$6,000 ","$6,000 ",40
320,Dark State,AtlasDis…,Atlas Distribution,"$5,824 ","$4,022 ",7
321,Here After,Vertical…,Vertical Entertainment,"$5,612 ","$5,612 ",1
322,Tomato Red,IndicanP…,Indican Pictures,"$5,504 ","$1,920 ",2
323,Rock Paper Scissors,IndicanP…,Indican Pictures,"$5,497 ","$2,222 ",2
324,Deux,Magnolia…,Magnolia Pictures,"$5,495 ","$2,955 ",27
325,Blood Brothers,IndicanP…,Indican Pictures,"$5,191 ","$1,606 ",2
326,Bik Eneich: Un Fils,ArtMattan…,Art Mattan Films,"$5,126 ",$0 ,3
327,Victim of Love,IndicanP…,Indican Pictures,"$5,016 ","$1,958 ",1
328,Things Don't Stay Fixed,IndicanP…,Indican Pictures,"$4,905 ","$2,561 ",3
329,Sayyedat al-Bahr,Variance…,Variance Films,"$4,617 ","$3,090 ",2
330,Bill Traylor: Chasing Ghosts,KinoLorber,Kino Lorber,"$4,504 ",$0 ,1
331,Labyrinth of Cinema (海辺の映画館 キネマの玉手箱)…,Crescendo…,Crescendo House Films,"$4,501 ",$0 ,5
332,Mayday,Magnolia…,Magnolia Pictures,"$4,382 ","$3,660 ",7
333,No Place,IndicanP…,Indican Pictures,"$4,194 ","$1,645 ",1
334,Naked Singularity,ScreenMe…,Screen Media Films,"$3,050 ","$3,050 ",1
335,Project Space 13,CircleCo…,Circle Collective,"$3,000 ","$3,000 ",1
336,The Village Detective: a song Cycle,KinoLorber,Kino Lorber,"$2,839 ",$0 ,1
337,Below the Fold,MutinyPi…,Mutiny Pictures,"$2,600 ","$2,600 ",1
338,A Glitch in the Matrix,Magnolia…,Magnolia Pictures,"$2,238 ","$1,667 ",19
339,Agnes,MagnetRe…,Magnet Releasing,"$2,113 ","$1,433 ",6
340,Crack House of the Dead,SelfDist…,Self Distributed,"$1,816 ","$1,287 ",5
341,Tian Huo Wei Qing,ScreenMe…,Screen Media Films,"$1,105 ",$861 ,123
342,Operation Portugal,SonyPict…,Sony Pictures,"$1,096 ",$0 ,0
343,Slalom,KinoLorber,Kino Lorber,"$1,052 ","$1,052 ",4
344,Andra Sidan,MagnetRe…,Magnet Releasing,"$1,010 ",$303 ,3
345,Den blomstertid nu kommer,Magnolia…,Magnolia Pictures,$974 ,$655 ,3
346,Elbow Grease,SelfDist…,Self Distributed,$917 ,$0 ,5
347,Funhouse,MagnetRe…,Magnet Releasing,$507 ,$251 ,3
348,Descarrilados,SonyPict…,Sony Pictures,$462 ,$0 ,0
349,De Oost,Magnolia…,Magnolia Pictures,$180 ,$46 ,2
350,First Signal,TheAshto…,The Ashton Times,$130 ,$130 ,1
