Id,Movie,Studio Dirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
301,Bol,ErosEnte…,Eros Entertainment,"$186,410 ","$62,473 ",38
302,Amigo,Variance…,Variance Films,"$184,705 ","$37,324 ",10
303,Loong Boonmee raleuk chat,Strand,Strand,"$184,292 ","$23,540 ",6
304,JIG,ScreenMe…,Screen Media Films,"$183,790 ","$70,432 ",5
305,The Man Nobody Knew: In Search of My Father  CI…,FirstRun…,First Run Features,"$183,342 ","$15,411 ",8
306,Rien à déclarer,Entertain…,Entertainment One,"$182,295 ","$72,180 ",25
307,Go For It!,Lionsgate,Lionsgate,"$180,237 ","$119,714 ",218
308,American: The Bill Hicks Story,Variance…,Variance Films,"$174,796 ","$5,872 ",11
309,Bellflower,Oscillosc…,Oscilloscope Pictures,"$168,226 ","$22,279 ",13
310,El gran milagro,KKMEnter…,KKM Entertainment,"$166,573 ","$35,771 ",13
311,The Last Godfather,Roadside…,Roadside Attractions,"$164,247 ","$101,779 ",58
312,Restless,SonyPict…,Sony Pictures,"$163,753 ","$15,467 ",126
313,La Bonheur des autres,Entertain…,Entertainment One,"$162,303 ",$0,31
314,Young Goethe in Love,MusicBox…,Music Box Films,"$162,138 ","$17,143 ",9
315,Pastorela,Lionsgate,Lionsgate,"$161,194 ","$82,175 ",55
316,Hanyo,IFCFilms,IFC Films,"$157,961 ","$16,670 ",12
317,A Good Old Fashioned Orgy,SamuelGo…,Samuel Goldwyn Films,"$154,604 ","$117,564 ",143
318,Magic Trip,Magnolia…,Magnolia Pictures,"$154,521 ","$14,367 ",18
319,Decisions,SelfDist…,Self Distributed,"$153,280 ",$0,60
320,Eames: The Architect and the Painter,FirstRun…,First Run Features,"$153,088 ","$24,481 ",12
321,Le quattro volte,LorberFilms,Lorber Films,"$152,530 ","$16,192 ",6
322,3D Sex and Zen: Extreme Ecstasy,ChinaLio…,China Lion Film Distribution,"$152,365 ",$903 ,10
323,Jiàn Dǎng Wěi Yè,ChinaLio…,China Lion Film Distribution,"$151,305 ","$65,866 ",29
324,Revenge of the Electric Car,MongrelM…,Mongrel Media,"$150,886 ",$0,11
325,Gun Hill Road,MotionFi…,Motion Films,"$148,994 ","$37,826 ",10
326,Thunder Soul,Roadside…,Roadside Attractions,"$143,986 ","$51,260 ",37
327,Nostalgia de la luz,IcarusFilms,Icarus Films,"$142,285 ","$10,681 ",3
328,Human Centipede 2: Full Sequence,IFCFilms,IFC Films,"$141,877 ","$49,456 ",24
329,Cold Weather,IFCFilms,IFC Films,"$141,358 ","$14,513 ",10
330,Dil Toh Baccha Hai Ji,VivaEnte…,Viva Entertainment,"$139,770 ",$0,6
331,Labios Rojos,Lionsgate,Lionsgate,"$136,163 ","$73,476 ",67
332,Xinhai geming,Variance…,Variance Films,"$135,739 ","$55,850 ",33
333,Life  Above All,SonyPict…,Sony Pictures,"$134,078 ","$13,788 ",18
334,Evangerion shin gekijôban: Ha,ElevenArts,Eleven Arts,"$133,640 ",$0,0
335,Game,ErosEnte…,Eros Entertainment,"$132,035 ",$0,63
336,Tomboy,RocketRe…,Rocket Releasing,"$130,271 ","$7,078 ",10
337,Akmareul Boatda (악마를 보았다),MagnetPi…,Magnet Pictures,"$129,210 ","$13,567 ",15
338,The Bang Bang Club,TriBecaF…,TriBeca Films,"$124,791 ","$21,945 ",9
339,Inni,CinemaPu…,Cinema Purgatorio,"$123,988 ",$0,9
340,Wo Zhi Nv Ren Xin,ChinaLio…,China Lion Film Distribution,"$123,527 ",$0,21
341,The Last Mountain,DadaFilms,Dada Films,"$122,959 ","$17,570 ",7
342,Trust,Alchemy,Alchemy,"$120,016 ","$58,214 ",28
343,Kaboom,IFCFilms,IFC Films,"$118,919 ","$13,714 ",12
344,Blank City,Insurgent…,Insurgent Media,"$116,037 ","$13,989 ",3
345,35 and Ticking,ImageEnt…,Image Entertainment,"$113,804 ","$29,775 ",6
346,Last Night,TriBecaF…,TriBeca Films,"$112,087 ","$32,000 ",10
347,Misterios de Lisboa,MusicBox…,Music Box Films,"$110,507 ","$12,308 ",6
348,Henrys Crime,MotionPi…,Motion Pictures,"$102,541 ","$8,726 ",8
349,Rubber,MagnetPi…,Magnet Pictures,"$100,370 ","$16,346 ",15
350,Rejoice and Shout,Magnolia…,Magnolia Pictures,"$100,237 ","$6,589 ",7
351,Tropa de Elite 2: O Inimigo Agora É Outro,Variance…,Variance Films,"$100,119 ","$8,648 ",7
352,The Undefeated,Cinedigm,Cinedigm,"$100,085 ","$65,132 ",14
353,The Double,ImageEnt…,Image Entertainment,"$99,612 ","$26,639 ",45
354,A Little Help,Freestyle…,Freestyle Releasing,"$96,868 ","$44,870 ",24
355,My Reincarnation,LongShot…,Long Shot Factory,"$92,822 ","$6,498 ",5
356,Evil Bong 3 The Wrath Of Bong!,FullMoon…,Full Moon Features,"$91,260 ","$24,775 ",1
357,Exporting Raymond,SamuelGo…,Samuel Goldwyn Films,"$87,727 ","$35,292 ",13
358,Crazy Wisdom,AliveMind,Alive Mind,"$86,583 ","$10,304 ",4
359,Vidal Sassoon: The Movie,Phase4F…,Phase 4 Films,"$85,974 ","$13,053 ",5
360,Carancho,Strand,Strand,"$85,526 ","$15,810 ",5
361,Der Räuber,Thimfilm,Thimfilm,"$83,259 ",$0,6
362,Inkubus,ScreenMe…,Screen Media Films,"$81,600 ",$0,16
363,The Whale,Paladin,Paladin,"$81,212 ","$4,835 ",5
364,Su Qi Er,Indomina…,Indomina Releasing,"$80,096 ","$17,857 ",9
365,Circo,FirstRun…,First Run Features,"$77,466 ","$5,403 ",4
366,Beautiful Boy,AnchorBa…,Anchor Bay Entertainment,"$77,247 ","$16,162 ",8
367,La conquête,MusicBox…,Music Box Films,"$74,474 ","$16,273 ",8
368,Chalo Dilli,ErosEnte…,Eros Entertainment,"$72,486 ",$0,31
369,Evidence of a Haunting,Nocturnal…,Nocturnal Features,"$71,834 ","$16,800 ",10
370,Flamenco  Flamenco,MongrelM…,Mongrel Media,"$71,732 ",$0,5
371,The Tree,Zeitgeist,Zeitgeist,"$71,158 ","$4,983 ",8
372,Zhan Guo,ChinaLio…,China Lion Film Distribution,"$68,961 ","$35,381 ",23
373,Puncture,Alchemy,Alchemy,"$67,071 ","$29,175 ",5
374,Mei Li Ren Sheng,ChinaLio…,China Lion Film Distribution,"$66,171 ","$23,605 ",23
375,Shaolin,Variance…,Variance Films,"$66,099 ","$19,132 ",11
376,Snowmen,ARCEnter…,ARC Entertainment,"$66,000 ","$66,000 ",15
377,Co Dau Dai Chien,Variance…,Variance Films,"$64,572 ","$23,612 ",6
378,The Human Resources Manager,FilmMove…,Film Movement,"$64,014 ",$0,9
379,Gekijouban Trigun: Badlands Rumble,ElevenArts,Eleven Arts,"$62,027 ","$29,201 ",12
380,If A Tree Falls: The Story of the Earth Liberat…,Oscillosc…,Oscilloscope Pictures,"$61,794 ","$5,634 ",5
381,Viva Riva!,MusicBox…,Music Box Films,"$61,759 ","$10,314 ",5
382,Une vie qui commence,Alliance…,Alliance Atlantis,"$61,337 ",$0,14
383,How to Live Forever,Variance…,Variance Films,"$60,630 ","$3,716 ",4
384,Limelight,Magnolia…,Magnolia Pictures,"$60,335 ","$9,529 ",4
385,Crime after Crime,LifeSent…,Life Sentence Films,"$60,291 ","$3,215 ",5
386,3,Strand,Strand,"$59,774 ","$9,821 ",6
387,Finding Joe,BalconyR…,Balcony Releasing,"$55,518 ","$8,753 ",7
388,Into Eternity,Internati…,International Film Circuit,"$55,366 ","$3,530 ",6
389,The Other F Word,Oscillosc…,Oscilloscope Pictures,"$53,714 ","$13,286 ",6
390,Dirty Girl,Weinstein…,Weinstein Co.,"$53,630 ","$17,859 ",10
391,Farmageddon,KristinM…,Kristin Marie Productions,"$53,256 ",$0,7
392,!Women Art Revolution,Zeitgeist,Zeitgeist,"$52,681 ","$5,791 ",4
393,Les Neiges du Kilimanjaro,MongrelM…,Mongrel Media,"$51,975 ","$12,358 ",9
394,Jing mo fung wan: Chen Zhen,Variance…,Variance Films,"$50,433 ","$11,365 ",9
395,Over Your Cities Grass Will Grow,AliveMind,Alive Mind,"$49,976 ","$7,272 ",3
396,Pianomania,FirstRun…,First Run Features,"$49,852 ","$2,238 ",6
397,Orgasm Inc.,FirstRun…,First Run Features,"$49,001 ","$8,773 ",3
398,The Perfect Host,Magnolia…,Magnolia Pictures,"$48,764 ","$7,505 ",10
399,Putty Hill,CinemaGuild,Cinema Guild,"$48,644 ","$4,868 ",3
400,Lebanon PA,TrulyIndie,Truly Indie,"$48,381 ","$6,675 ",6
401,Dao Jian Xiao,ChinaLio…,China Lion Film Distribution,"$47,897 ","$23,425 ",37
402,Alabama Moon,Faulkner-…,Faulkner-McLean Entertainment,"$47,305 ",$0,5
403,Margaret,FoxSearc…,Fox Searchlight,"$47,185 ","$7,525 ",14
404,Connected: An Autobiography about Love Death &…,Paladin,Paladin,"$46,782 ","$13,301 ",7
405,The Woodmans,LorberFilms,Lorber Films,"$46,623 ","$5,874 ",3
406,Every Day,ImageEnt…,Image Entertainment,"$46,029 ","$9,857 ",4
407,Rapt,LorberFilms,Lorber Films,"$45,759 ","$5,872 ",3
408,Texas Killing Fields,AnchorBa…,Anchor Bay Entertainment,"$45,470 ","$8,772 ",10
409,Sykt lykkelig,Magnolia…,Magnolia Pictures,"$45,154 ","$7,125 ",7
410,Autoreiji,Magnolia…,Magnolia Pictures,"$44,745 ","$6,518 ",7
411,Desert Flower,National…,National Geographic Entertainment,"$44,348 ","$7,657 ",8
412,Love Etc.,Alchemy Media Lab,Alchemy Media Lab,"$43,593 ","$8,781 ",2
413,Public Speaking,RialtoPi…,Rialto Pictures,"$43,184 ","$6,260 ",1
414,People v. The State of Illusion,SelfDist…,Self Distributed,"$42,202 ",$0,1
415,Down for Life,B.D.Fox…,B.d. Fox Independent,"$41,914 ","$23,176 ",5
416,Myth of the American Sleepover,IFCFilms,IFC Films,"$41,045 ","$8,700 ",3
417,Granito: How to Nail a Dictator,Skylight…,Skylight Pictures,"$40,726 ","$4,330 ",4
418,Choi-jong-byeong-gi-hwal,CJEntert…,CJ Entertainment,"$40,685 ","$40,685 ",16
419,Hell and Back Again,Docurama,Docurama,"$40,634 ","$3,413 ",4
420,The Last Circus,Magnolia…,Magnolia Pictures,"$40,548 ","$4,757 ",6
421,CornerStore,ShotownP…,Shotown Pictures,"$40,508 ","$12,743 ",2
422,Louder Than A Bomb,BalconyR…,Balcony Releasing,"$40,362 ","$2,300 ",4
423,Road to Nowhere,Monterey…,Monterey Media,"$40,294 ","$2,521 ",7
424,Addiction Incorporated,Variance…,Variance Films,"$40,106 ","$1,629 ",5
425,Baiyin diguo,ChinaLio…,China Lion Film Distribution,"$40,052 ","$40,052 ",17
426,Khodorkovsky,KinoLorber,Kino Lorber,"$39,522 ","$6,110 ",2
427,3 Backyards,ScreenMe…,Screen Media Films,"$39,475 ","$11,332 ",2
428,When Harry Tries to Marry,108Pics,108 Pics,"$38,261 ","$23,790 ",5
429,Where Soldiers Come From,Internati…,International Film Circuit,"$38,151 ",$0,5
430,11-11-11,RocketRe…,Rocket Releasing,"$38,100 ","$38,100 ",18
431,En ganske snill mann,Strand,Strand,"$37,743 ","$2,506 ",3
432,Sleeping Beauty,IFCFilms,IFC Films,"$37,710 ","$9,207 ",4
433,Paul Goodman Changed My Life,Zeitgeist,Zeitgeist,"$36,056 ","$5,754 ",2
434,Da Wu Sheng,ChinaLio…,China Lion Film Distribution,"$35,986 ","$16,816 ",20
435,American Teacher,FirstRun…,First Run Features,"$35,148 ","$6,036 ",2
436,Love in Space,ChinaLio…,China Lion Film Distribution,"$33,976 ","$13,795 ",15
437,Making the Boys,FirstRun…,First Run Features,"$33,833 ","$7,513 ",3
438,Stake Land,IFCFilms,IFC Films,"$33,245 ","$7,258 ",5
439,Meet Monica Velour,AnchorBa…,Anchor Bay Entertainment,"$33,042 ","$7,438 ",4
440,Film Socialisme,LorberFilms,Lorber Films,"$32,977 ","$4,526 ",3
441,Autobiografia lui Nicolae Ceausescu,TheFilm…,The Film Collaborative,"$32,889 ","$4,644 ",3
442,The Time That Remains,IFCFilms,IFC Films,"$32,869 ","$6,453 ",2
443,Octubre,NewYorker,New Yorker,"$32,127 ","$7,054 ",2
444,Noruwei no mori,MongrelM…,Mongrel Media,"$31,406 ",$0,3
445,"HEY,  BOO: Harper Lee and To Kill a Mockingbird",FirstRun…,First Run Features,"$31,135 ","$5,457 ",5
446,Small Town Murder Songs,Monterey…,Monterey Media,"$31,133 ","$1,854 ",7
447,White Irish Drinkers,IFCFilms,IFC Films,"$31,056 ","$16,836 ",5
448,The Son of No One,AnchorBa…,Anchor Bay Entertainment,"$30,680 ","$18,015 ",10
449,Muran,UTVCommu…,UTV Communications,"$30,116 ","$16,490 ",10
450,Cat Run,Paladin,Paladin,"$30,100 ","$30,100 ",102
451,Cracks,IFCFilms,IFC Films,"$29,683 ","$9,467 ",6
452,Redemption Road,Freestyle…,Freestyle Releasing,"$29,384 ","$19,152 ",26
453,Topp Twins Untouchable Girls,ArgotPic…,Argot Pictures,"$29,200 ","$2,506 ",5
454,Cost of a Soul,Relativity,Relativity,"$29,000 ","$25,365 ",50
455,Chasing Madoff,CohenMed…,Cohen Media,"$28,850 ","$28,850 ",11
456,La belle endormie,Strand,Strand,"$28,791 ","$5,973 ",3
457,Garbo: El espía,FirstRun…,First Run Features,"$28,563 ","$5,593 ",2
458,Salvation Boulevard,IFCFilms,IFC Films,"$28,468 ","$7,208 ",4
459,Sacrifice,Alchemy,Alchemy,"$27,899 ",$0,11
460,"Marti,  dupa craciun",LorberFilms,Lorber Films,"$27,813 ","$6,472 ",2
461,Janes Journey,FirstRun…,First Run Features,"$27,253 ","$6,193 ",3
462,Bay Rong,Variance…,Variance Films,"$27,052 ","$12,249 ",9
463,Forks Over Knives,MonicaBe…,Monica Beach Media,"$27,000 ","$2,700 ",6
464,Caesar & Ottos Summer Camp Massacre,Nocturnal…,Nocturnal Features,"$25,844 ","$11,375 ",5
465,Waiting for Forever,Freestyle…,Freestyle Releasing,"$25,517 ","$8,917 ",14
466,The Other Woman,IFCFilms,IFC Films,"$25,423 ","$6,224 ",9
467,The Worst Movie EVER!,HiltzSqu…,Hiltz Squared,"$25,206 ",$11 ,2
468,Bonnie & Clyde vs. Dracula,IndicanP…,Indican Pictures,"$25,027 ","$5,688 ",3
469,Harvest,Monterey…,Monterey Media,"$24,657 ","$5,870 ",4
470,Immigration Tango,Roadside…,Roadside Attractions,"$24,554 ","$14,432 ",30
471,Vincent will Meer,CorinthF…,Corinth Films,"$24,377 ",$0,3
472,Shut Up Little Man! An Audio Misadventure,TriBecaF…,TriBeca Films,"$23,901 ",$0,8
473,Lost Bohemia,LongShot…,Long Shot Factory,"$23,584 ",$0,2
474,Ranchero,IndicanP…,Indican Pictures,"$23,449 ","$3,826 ",2
475,Vanishing on 7th Street,MagnetPi…,Magnet Pictures,"$22,729 ","$2,898 ",6
476,Black Death,MagnetPi…,Magnet Pictures,"$22,554 ","$6,692 ",5
477,Ceremony,Magnolia…,Magnolia Pictures,"$22,270 ","$6,920 ",4
478,All's Faire in Love,Hannover…,Hannover House,"$22,180 ","$16,440 ",75
479,Tyrannosaur,Strand,Strand,"$22,088 ","$7,635 ",5
480,Answers to Nothing,Roadside…,Roadside Attractions,"$22,049 ","$14,262 ",21
481,Incendiary: The Willingham Case,TrulyIndie,Truly Indie,"$21,882 ","$7,308 ",3
482,The Arbor,Strand,Strand,"$21,610 ","$2,638 ",3
483,Monogamy,Oscillosc…,Oscilloscope Pictures,"$21,527 ","$4,476 ",5
484,Cameraman: The Life and Work of Jack Cardiff,Strand,Strand,"$20,840 ","$1,998 ",3
485,Griff the Invisible,Indomina…,Indomina Releasing,"$20,778 ","$5,087 ",6
486,Resurrect Dead: The Mystery of the Toynbee Tiles,ArgotPic…,Argot Pictures,"$20,726 ","$3,054 ",1
487,4 aventures de Reinette et Mirabelle,TheFilm…,The Film Collaborative,"$20,589 ","$5,051 ",2
488,Charlotte Rampling: The Look,KinoLorber,Kino Lorber,"$19,988 ","$5,905 ",2
489,Brotherhood,Phase4F…,Phase 4 Films,"$19,722 ","$7,873 ",2
490,Die Fremde,OliveFilms,Olive Films,"$19,631 ","$6,018 ",2
491,Skateland,Freestyle…,Freestyle Releasing,"$19,412 ","$5,254 ",11
492,Lapollonide - souvenirs de la maison close,IFCFilms,IFC Films,"$19,327 ","$4,766 ",3
493,OKA!,DadaFilms,Dada Films,"$18,364 ","$4,461 ",2
494,Battle for Brooklyn,RooftopF…,Rooftop Films,"$17,981 ","$11,141 ",1
495,Cook County,Hannover…,Hannover House,"$17,977 ","$7,579 ",5
496,5 Days of War,AnchorBa…,Anchor Bay Entertainment,"$17,479 ","$6,254 ",6
497,Littlerock,Variance…,Variance Films,"$17,309 ","$1,120 ",3
498,InSight,CheckEnt…,Check Entertainment,"$17,107 ","$9,571 ",23
499,Mia et le Migou,GKIDS,GKIDS,"$16,975 ","$16,975 ",1
500,Trespass,Alchemy,Alchemy,"$16,816 ","$16,816 ",10
501,Return,DadaFilms,Dada Films,"$16,124 ","$6,717 ",3
502,London Boulevard,IFCFilms,IFC Films,"$16,075 ","$3,431 ",2
503,Dumbstruck,TrulyIndie,Truly Indie,"$15,378 ",$981 ,2
504,The Tenant,IndicanP…,Indican Pictures,"$15,003 ",$750 ,3
505,Ong Bak 3,MagnetPi…,Magnet Pictures,"$14,890 ","$5,648 ",4
506,Armadillo,LorberFilms,Lorber Films,"$14,566 ","$3,958 ",1
507,The Chaperone,SamuelGo…,Samuel Goldwyn Films,"$14,400 ","$12,700 ",10
508,Peep World,IFCFilms,IFC Films,"$14,351 ","$6,702 ",5
509,Saheb Biwi Aur Gangster,UTVCommu…,UTV Communications,"$14,231 ","$9,548 ",9
510,Sympathy for Delicious,MayaRele…,Maya Releasing,"$13,826 ","$9,448 ",2
511,Benda Bilili!,National…,National Geographic Entertainment,"$13,420 ","$1,678 ",3
512,Beautiful Darling,CorinthF…,Corinth Films,"$13,400 ","$13,400 ",1
513,Under the Boardwalk: The MONOPOLY Story,SelfDist…,Self Distributed,"$13,080 ","$5,054 ",2
514,Bloodworth,SamuelGo…,Samuel Goldwyn Films,"$12,971 ","$9,612 ",10
515,Im Not Jesus Mommy,FilmDemic,Film Demic,"$12,620 ","$5,379 ",3
516,Año Bisiesto,Strand,Strand,"$12,561 ","$2,727 ",2
517,Rebirth,Oscillosc…,Oscilloscope Pictures,"$12,358 ","$2,740 ",4
518,Back Door Channels: The Price of Peace,Fisher-Kl…,Fisher-Klingenstein Films,"$12,139 ","$3,425 ",3
519,"Eu cand vreau sa fluier,  fluier",FilmMove…,Film Movement,"$12,135 ","$2,999 ",1
520,Rid of Me,Phase4F…,Phase 4 Films,"$11,740 ","$2,070 ",2
521,Elektra Luxx,SamuelGo…,Samuel Goldwyn Films,"$11,514 ","$5,601 ",4
522,Sarah Palin: You Betcha!,Freestyle…,Freestyle Releasing,"$10,935 ","$6,911 ",6
523,Matrimonio allitaliana,KinoClas…,Kino Classics,"$10,600 ","$4,967 ",1
524,Zero Bridge,TheFilm…,The Film Collaborative,"$10,357 ","$3,927 ",2
525,The Heir Apparent: Largo Winch,MusicBox…,Music Box Films,"$10,352 ","$2,830 ",4
526,Miss Minoes,MusicBox…,Music Box Films,"$10,189 ","$1,901 ",4
527,A Bird of the Air,Paladin,Paladin,"$10,152 ","$3,819 ",2
528,Arjun The Warrior Prince,UTVCommu…,UTV Communications,"$10,017 ",$0,10
529,Un homme qui crie,FilmMove…,Film Movement,"$9,862 ","$2,421 ",1
530,Die Frau mit den 5 Elefanten,CinemaGuild,Cinema Guild,"$9,256 ","$4,988 ",1
531,Vito Bonafacci,CAVURele…,Cavu Releasing,"$9,217 ","$3,027 ",1
532,The Ledge,IFCFilms,IFC Films,"$9,216 ","$5,176 ",2
533,Prince of the Himalayas,KinoLorber,Kino Lorber,"$9,178 ",$0,1
534,Another Happy Day,Phase4F…,Phase 4 Films,"$9,120 ","$9,120 ",2
535,Sans queue ni tete,FirstRun…,First Run Features,"$8,856 ",$678 ,1
536,Kak ya provyol etim letom,FilmMove…,Film Movement,"$8,733 ","$4,968 ",1
537,Je suis heureux que ma mère soit vivante,Strand,Strand,"$8,705 ","$3,118 ",1
538,Korkoro,LorberFilms,Lorber Films,"$8,242 ","$1,224 ",2
539,Wrecked,IFCFilms,IFC Films,"$8,020 ","$2,054 ",1
540,The Ward,Cinedigm,Cinedigm,"$7,760 ","$7,760 ",11
541,Good Neighbors,Magnolia…,Magnolia Pictures,"$7,072 ","$2,953 ",3
542,Ma part du gateau,IFCFilms,IFC Films,"$6,850 ","$4,213 ",2
543,Janie Jones,TriBecaF…,TriBeca Films,"$6,840 ",$0,2
544,"Scheherazade, Tell Me a Story",ArtMattan…,Art Mattan Films,"$6,720 ",$172 ,12
545,Thats What I Am,SamuelGo…,Samuel Goldwyn Films,"$6,400 ","$6,400 ",10
546,I Melt with You,Magnolia…,Magnolia Pictures,"$6,361 ","$2,729 ",2
547,Chillar Party,UTVCommu…,UTV Communications,"$6,330 ","$4,155 ",7
548,Schastye moe,KinoLorber,Kino Lorber,"$6,298 ","$2,077 ",2
549,Florent: Queen of the Meat Market,SelfDist…,Self Distributed,"$6,282 ","$6,282 ",1
550,The Family Tree,Entertain…,Entertainment One,"$6,035 ","$3,658 ",2
551,The Imperialists Are Still Alive!,IFCFilms,IFC Films,"$5,874 ","$2,832 ",1
552,Rabia,Strand,Strand,"$5,594 ",$952 ,2
553,Elevate,Variance…,Variance Films,"$5,580 ","$3,547 ",2
554,Aurora,CinemaGuild,Cinema Guild,"$5,558 ","$2,105 ",1
555,Tanner Hall,AnchorBa…,Anchor Bay Entertainment,"$5,073 ","$2,803 ",5
556,Flypaper,IFCFilms,IFC Films,"$5,043 ","$1,098 ",2
557,Burke & Hare,IFCFilms,IFC Films,"$4,833 ",$947 ,1
558,The Catechism Cataclysm,IFCMidnight,IFC Midnight,"$4,373 ",$897 ,1
559,Fancypants,HumblePi…,Humble Pictures,"$4,227 ","$4,227 ",1
560,Daylight,CinemaPu…,Cinema Purgatorio,"$4,171 ",$959 ,1
561,Kyatapira,LorberFilms,Lorber Films,"$4,157 ","$2,109 ",1
562,Morrer Como Un Homem,Strand,Strand,"$4,029 ","$2,346 ",1
563,Building Hope,TheNobil…,The Nobility Project,"$4,000 ","$4,000 ",1
564,The Harvest/La Cosecha,CinemaLibre,Cinema Libre,"$3,709 ","$2,245 ",1
565,Passion Play,ImageEnt…,Image Entertainment,"$3,669 ","$2,100 ",2
566,Raymond Did It,PlasticA…,Plastic Age Productions,"$3,632 ","$3,192 ",1
567,The Sons of Tennessee Williams,FirstRun…,First Run Features,"$3,242 ","$1,492 ",1
568,The Swell Season,SeventhA…,Seventh Art Releasing,"$3,178 ",$0,2
569,Plastic Planet,FirstRun…,First Run Features,"$3,164 ",$740 ,2
570,Balls to the Wall,MidwestM…,Midwest Movies,"$3,140 ","$3,140 ",10
571,The Weird World of Blowfly,Variance…,Variance Films,"$3,062 ","$1,036 ",1
572,Cormans World: Exploits of a Hollywood Rebel,AnchorBa…,Anchor Bay Entertainment,"$3,050 ","$3,050 ",2
573,Protektor,FilmMove…,Film Movement,"$2,968 ","$2,968 ",2
574,Zokkomon,WaltDisney,Walt Disney,"$2,815 ","$2,815 ",24
575,Blood Ties,Afterligh…,Afterlight Pictures,"$2,761 ","$2,760 ",1
576,Restitution,Monterey…,Monterey Media,"$2,664 ","$1,779 ",1
577,Jitsuroku rengo sekigun: Asama sanso e no michi,LorberFilms,Lorber Films,"$2,659 ","$1,161 ",1
578,Knuckle,ARCEnter…,ARC Entertainment,"$2,647 ","$2,647 ",3
579,Main Street,Magnolia…,Magnolia Pictures,"$2,560 ","$1,553 ",1
580,About Fifty,ScreenMe…,Screen Media Films,"$2,500 ","$2,500 ",1
581,Medianeras,IFCFilms,IFC Films,"$2,377 ","$1,304 ",1
582,Fading of the Cries,EammonFi…,Eammon Films,"$2,300 ","$2,300 ",3
583,"Love, Wedding, Marriage",IFCFilms,IFC Films,"$1,926 ","$1,378 ",2
584,Now & Later,CinemaLibre,Cinema Libre,"$1,808 ","$1,516 ",1
585,Chalet Girl,IFCFilms,IFC Films,"$1,710 ",$192 ,1
586,They're Out of Business,IFCFilms,IFC Films,"$1,655 ",$0,0
587,La Pivellina,FirstRun…,First Run Features,"$1,350 ",$526 ,1
588,An Invisible Sign,IFCFilms,IFC Films,"$1,279 ",$0,0
589,Angels Crest,Magnolia…,Magnolia Pictures,$832 ,$407 ,1
590,Illégal,FilmMove…,Film Movement,$651 ,$404 ,1
