,Id,Movie,,,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
97,98,One for the Money,Lionsgate,Lionsgate,"$26,414,527 ","$11,515,790 ","2,737"
98,99,Alex Cross,Lionsgate,Lionsgate,"$25,888,412 ","$11,396,768 ","2,541"
99,100,Katy Perry: Part of Me,Paramount…,Paramount Pictures,"$25,326,071 ","$7,138,266 ","2,732"
100,101,Sparkle,SonyPict…,Sony Pictures,"$24,397,469 ","$11,643,342 ","2,244"
101,102,Premium Rush,SonyPict…,Sony Pictures,"$20,275,446 ","$6,030,164 ","2,255"
102,103,Big Miracle,Universal,Universal Studio,"$20,157,300 ","$7,760,205 ","2,133"
103,104,Kari gurashi no Arietti,WaltDisney,Walt Disney,"$19,192,510 ","$6,446,395 ","2,958"
104,105,The Impossible,Lionsgate,Lionsgate,"$19,019,882 ","$143,818 ",886
105,106,Haywire,Relativity,Relativity,"$18,942,396 ","$8,425,370 ","2,441"
106,107,Man on a Ledge,Lionsgate,Lionsgate,"$18,620,000 ","$8,001,932 ","2,998"
107,108,A Thousand Words,Paramount…,Paramount Pictures,"$18,450,127 ","$6,176,280 ","1,895"
108,109,Chernobyl Diaries,WarnerBros.,Warner Bros.,"$18,119,640 ","$7,955,307 ","2,433"
109,110,The Perks of Being a Wallflower,Lionsgate,Lionsgate,"$17,742,948 ","$228,359 ",745
110,111,Silent Hill: Revelation 3D,OpenRoad,Open Road,"$17,530,219 ","$8,023,036 ","2,933"
111,112,Wanderlust,Universal,Universal Studio,"$17,288,155 ","$6,526,650 ","2,002"
112,113,Safe,Lionsgate,Lionsgate,"$17,142,080 ","$7,892,539 ","2,271"
113,114,To Rome with Love,SonyPict…,Sony Pictures,"$16,684,352 ","$361,359 ",806
114,115,The Master,Weinstein…,Weinstein Co.,"$16,247,159 ","$736,311 ",864
115,116,The Raven,Relativity,Relativity,"$16,008,272 ","$7,289,642 ","2,209"
116,117,The Man with the Iron Fists,Universal,Universal Studio,"$15,634,090 ","$7,910,980 ","1,872"
117,118,Seven Psychopaths,CBSFilms,CBS Films,"$15,024,049 ","$4,174,915 ","1,480"
118,119,Killing Them Softly,Weinstein…,Weinstein Co.,"$14,945,541 ","$6,812,900 ","2,424"
119,120,To the Arctic 3D,WarnerBros.,Warner Bros.,"$14,555,206 ","$270,228 ",52
120,121,Lockout,OpenRoad,Open Road,"$14,326,865 ","$6,231,836 ","2,335"
121,122,Hit & Run,OpenRoad,Open Road,"$13,749,300 ","$4,526,222 ","2,870"
122,123,Dredd,Lionsgate,Lionsgate,"$13,414,714 ","$6,278,491 ","2,557"
123,124,Les Intouchables,Weinstein…,Weinstein Co.,"$13,182,281 ","$101,053 ",194
124,125,Playing for Keeps,FilmDistrict,Film District,"$13,103,272 ","$5,750,288 ","2,840"
125,126,Anna Karenina,FocusFea…,Focus Features,"$12,816,367 ","$320,690 ",422
126,127,Beasts of the Southern Wild,FoxSearc…,Fox Searchlight,"$12,795,746 ","$169,702 ",318
127,128,Silent House,OpenRoad,Open Road,"$12,739,737 ","$6,660,234 ","2,124"
128,129,Cirque du Soleil: Worlds Away,Paramount…,Paramount Pictures,"$12,512,862 ","$2,282,368 ",840
129,130,People Like Us,WaltDisney,Walt Disney,"$12,431,792 ","$4,255,423 ","2,055"
130,131,Gone,Lionsgate,Lionsgate,"$11,682,205 ","$4,770,360 ","2,186"
131,132,The Words,CBSFilms,CBS Films,"$11,494,838 ","$4,750,894 ","2,801"
132,133,Fun Size,Paramount…,Paramount Pictures,"$9,409,538 ","$4,101,017 ","3,016"
133,134,Bernie,Alchemy,Alchemy,"$9,204,489 ","$85,805 ",332
134,135,Salmon Fishing in the Yemen,CBSFilms,CBS Films,"$9,041,540 ","$225,894 ",524
135,136,Arbitrage,Roadside…,Roadside Attractions,"$7,919,574 ","$2,002,165 ",256
136,137,Friends with Kids,Roadside…,Roadside Attractions,"$7,251,073 ","$2,019,083 ",640
137,138,Seeking a Friend for the End of the World,FocusFea…,Focus Features,"$7,078,738 ","$3,822,803 ","1,625"
